Eddy_Viscosity,Mach,Nu_Tilde,Pressure_Coefficient
0,0,0,-1.34852
0,0,0,-1.35004
0,0,0,-1.35083
0,0,0,-1.35119
0,0,0,-1.35134
0,0,0,-1.35144
0,0,0,-1.35155
0,0,0,-1.35168
0,0,0,-1.35182
0,0,0,-1.35197
0,0,0,-1.35216
0,0,0,-1.35236
0,0,0,-1.35256
0,0,0,-1.35276
0,0,0,-1.35295
0,0,0,-1.35313
0,0,0,-1.35324
0,0,0,-1.35331
0,0,0,-1.35341
0,0,0,-1.35354
0,0,0,-1.35371
0,0,0,-1.35389
0,0,0,-1.35408
0,0,0,-1.35427
0,0,0,-1.35443
0,0,0,-1.35452
0,0,0,-1.35448
0,0,0,-1.35431
0,0,0,-1.35408
0,0,0,-1.35382
0,0,0,-1.35355
0,0,0,-1.35325
0,0,0,-1.35296
0,0,0,-1.35273
0,0,0,-1.35259
0,0,0,-1.35253
0,0,0,-1.35247
0,0,0,-1.35237
0,0,0,-1.35222
0,0,0,-1.35204
0,0,0,-1.35181
0,0,0,-1.35152
0,0,0,-1.35118
0,0,0,-1.35076
0,0,0,-1.35026
0,0,0,-1.34969
0,0,0,-1.34904
0,0,0,-1.34833
0,0,0,-1.34761
0,0,0,-1.34694
0,0,0,-1.34634
0,0,0,-1.3458
0,0,0,-1.34532
0,0,0,-1.34488
0,0,0,-1.34444
0,0,0,-1.34399
0,0,0,-1.34351
0,0,0,-1.34299
0,0,0,-1.34239
0,0,0,-1.34169
0,0,0,-1.34092
0,0,0,-1.34014
0,0,0,-1.33933
0,0,0,-1.33848
0,0,0,-1.33756
0,0,0,-1.33663
0,0,0,-1.3357
0,0,0,-1.33479
0,0,0,-1.33397
0,0,0,-1.33321
0,0,0,-1.33251
0,0,0,-1.33184
0,0,0,-1.33117
0,0,0,-1.33047
0,0,0,-1.32973
0,0,0,-1.32888
0,0,0,-1.32787
0,0,0,-1.3267
0,0,0,-1.32549
0,0,0,-1.32431
0,0,0,-1.32311
0,0,0,-1.32189
0,0,0,-1.32064
0,0,0,-1.31934
0,0,0,-1.31796
0,0,0,-1.31651
0,0,0,-1.31502
0,0,0,-1.31348
0,0,0,-1.31186
0,0,0,-1.31021
0,0,0,-1.30854
0,0,0,-1.30685
0,0,0,-1.30514
0,0,0,-1.30338
0,0,0,-1.30159
0,0,0,-1.29981
0,0,0,-1.29806
0,0,0,-1.29635
0,0,0,-1.29468
0,0,0,-1.29299
0,0,0,-1.29125
0,0,0,-1.2894
0,0,0,-1.28743
0,0,0,-1.28544
0,0,0,-1.28347
0,0,0,-1.28147
0,0,0,-1.27939
0,0,0,-1.27728
0,0,0,-1.27521
0,0,0,-1.27316
0,0,0,-1.27113
0,0,0,-1.26913
0,0,0,-1.26717
0,0,0,-1.26522
0,0,0,-1.26331
0,0,0,-1.2614
0,0,0,-1.25946
0,0,0,-1.25746
0,0,0,-1.25536
0,0,0,-1.25311
0,0,0,-1.25071
0,0,0,-1.24813
0,0,0,-1.24528
0,0,0,-1.24219
0,0,0,-1.23896
0,0,0,-1.23566
0,0,0,-1.23236
0,0,0,-1.229
0,0,0,-1.22556
0,0,0,-1.2221
0,0,0,-1.21864
0,0,0,-1.21512
0,0,0,-1.21152
0,0,0,-1.208
0,0,0,-1.20476
0,0,0,-1.20169
0,0,0,-1.19855
0,0,0,-1.19527
0,0,0,-1.19201
0,0,0,-1.18878
0,0,0,-1.18533
0,0,0,-1.1813
0,0,0,-1.17669
0,0,0,-1.17177
0,0,0,-1.16683
0,0,0,-1.16195
0,0,0,-1.15693
0,0,0,-1.15165
0,0,0,-1.14621
0,0,0,-1.14077
0,0,0,-1.13537
0,0,0,-1.12978
0,0,0,-1.12389
0,0,0,-1.11777
0,0,0,-1.1116
0,0,0,-1.1053
0,0,0,-1.09863
0,0,0,-1.09147
0,0,0,-1.08383
0,0,0,-1.07605
0,0,0,-1.06837
0,0,0,-1.06058
0,0,0,-1.05233
0,0,0,-1.04345
0,0,0,-1.03396
0,0,0,-1.02409
0,0,0,-1.01385
0,0,0,-1.00306
0,0,0,-0.991346
0,0,0,-0.978521
0,0,0,-0.964661
0,0,0,-0.950026
0,0,0,-0.934667
0,0,0,-0.918216
0,0,0,-0.900745
0,0,0,-0.882658
0,0,0,-0.863721
0,0,0,-0.84386
0,0,0,-0.823095
0,0,0,-0.800508
0,0,0,-0.775114
0,0,0,-0.746897
0,0,0,-0.716136
0,0,0,-0.682126
0,0,0,-0.64487
0,0,0,-0.605035
0,0,0,-0.561707
