"Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          46,      -5.120971995,      -4.911062611,      -5.279502124,      -4.379883085,      -10.75837253,     0.01716079634,      0.7030033313,                 0,                 0,                 0,     0.09772437296,    -0.01118853074,      0.7031237399,                 0,       40.96565902,    0.003053070684
          47,      -5.136850116,      -4.937225703,      -5.303451881,      -4.397014696,      -10.72075594,     0.01738503652,      0.7048913425,                 0,                 0,                 0,     0.09703620691,    -0.01104057131,       0.705019255,                 0,       40.54586493,    0.003053070684
          48,       -5.15255126,      -4.968433562,      -5.326246552,      -4.413995847,      -10.68098415,     0.01774677473,      0.7065062951,                 0,                 0,                 0,     0.09631249854,    -0.01074421963,      0.7066474756,                 0,       39.81040532,    0.003053070684
          49,      -5.168779151,      -5.004185031,       -5.34753368,      -4.431576342,      -10.63950736,     0.01821238757,      0.7078403029,                 0,                 0,                 0,     0.09556149859,    -0.01033275392,      0.7079991664,                 0,       38.86587084,    0.003053070684
          50,      -5.185770882,      -5.043694403,      -5.367009964,      -4.449997016,      -10.59600735,     0.01875310366,      0.7088954157,                 0,                 0,                 0,     0.09479700506,   -0.009835004801,       0.709075216,                 0,       37.80149827,    0.003865633828
          51,      -5.203339808,      -5.085864751,      -5.385022159,      -4.469007457,      -10.55067707,     0.01933172968,      0.7097072879,                 0,                 0,                 0,     0.09405350619,   -0.009289572464,      0.7099097507,                 0,       36.71204283,    0.003865633828
          52,      -5.221799239,      -5.129305089,      -5.402589889,      -4.488808881,      -10.50398536,     0.01990040065,      0.7103338994,                 0,                 0,                 0,     0.09337790673,   -0.008746619923,      0.7105587739,                 0,       35.69445218,    0.003865633828
          53,      -5.241114291,      -5.172220658,      -5.420441888,      -4.509319582,      -10.45583453,     0.02041251553,      0.7108253748,                 0,                 0,                 0,     0.09281268979,   -0.008254730694,      0.7110704913,                 0,       34.82301697,    0.003865633828
          54,      -5.261055928,      -5.212406716,      -5.439547665,      -4.530250301,      -10.40637412,     0.02083043289,      0.7111944229,                 0,                 0,                 0,     0.09238237995,   -0.007852027869,      0.7114560842,                 0,        34.1420856,    0.003865633828
          55,      -5.281368175,      -5.247664128,      -5.460557668,      -4.551290206,      -10.35577406,     0.02112815538,      0.7114527267,                 0,                 0,                 0,     0.09210042624,   -0.007564958562,      0.7117261782,                 0,       33.67320592,    0.003865633828
          56,      -5.301111651,      -5.276789629,      -5.483705521,      -4.571501383,      -10.30341532,     0.02129187425,      0.7116342349,                 0,                 0,                 0,     0.09197505052,   -0.007408688631,      0.7119141377,                 0,       33.42280846,    0.003865633828
          57,      -5.319814461,      -5.300270721,      -5.509134115,      -4.590423424,      -10.25039275,     0.02131750059,       0.711792764,                 0,                 0,                 0,     0.09200859543,   -0.007389472816,      0.7120735709,                 0,       33.39006657,    0.003865633828
          58,       -5.33786116,      -5.319926304,      -5.536029293,      -4.608538405,      -10.19650356,     0.02120923007,      0.7119884052,                 0,                 0,                 0,     0.09219663909,   -0.007505540908,      0.7122646892,                 0,       33.56974312,    0.003865633828
          59,      -5.355476314,      -5.338108717,      -5.562524666,      -4.626213649,      -10.14210348,     0.02097796181,      0.7122773204,                 0,                 0,                 0,     0.09252822318,   -0.007748266295,       0.712544048,                 0,       33.95359981,    0.003865633828
          60,       -5.37323847,      -5.356869844,      -5.586262194,       -4.64412839,      -10.08772283,     0.02063950541,      0.7127023851,                 0,                 0,                 0,     0.09298621914,   -0.008103580402,      0.7129551255,                 0,       34.53098178,    0.003865633828
          61,      -5.390927787,      -5.377539236,      -5.605612131,      -4.662154977,       -10.0342014,      0.0202123333,      0.7132942165,                 0,                 0,                 0,     0.09354957432,   -0.008554259846,      0.7135292582,                 0,       35.29004821,    0.003865633828
          62,      -5.408283175,      -5.400471937,      -5.619935633,      -4.680018515,      -9.982078149,     0.01971647028,      0.7140746861,                 0,                 0,                 0,     0.09419483906,    -0.00908117766,      0.7142891072,                 0,       36.21716645,    0.003865633828
          63,      -5.424988746,      -5.425064354,      -5.629589568,       -4.69730386,      -9.931736402,     0.01917325958,      0.7150590664,                 0,                 0,                 0,     0.09489661896,   -0.009663623558,      0.7152507929,                 0,       37.29460104,    0.003865633828
          64,      -5.440753639,       -5.44988041,      -5.636028925,      -4.713562156,      -9.883411953,     0.01860504443,      0.7162569491,                 0,                 0,                 0,     0.09562786539,    -0.01027965904,      0.7164247996,                 0,       38.49799723,    0.003865633828
          65,      -5.455337276,       -5.47294775,         -5.640689,      -4.728414434,      -9.839271231,     0.01803517344,      0.7176666239,                 0,                 0,                 0,     0.09635941767,    -0.01090588555,      0.7178103595,                 0,       39.79261005,    0.004680718177
          66,      -5.469046472,      -5.492194417,      -5.644446622,      -4.742076884,      -9.799557279,     0.01748834796,      0.7192603385,                 0,                 0,                 0,     0.09705637031,    -0.01151650322,      0.7193807386,                 0,       41.12797505,    0.004680718177
          67,      -5.482146535,      -5.506067425,      -5.647847238,      -4.754801039,      -9.765199471,     0.01698954342,      0.7209991159,                 0,                 0,                 0,     0.09768648645,     -0.0120849859,       0.721097998,                 0,       42.43781589,    0.004680718177
          68,       -5.49556261,      -5.514024738,       -5.65167374,      -4.767550471,      -9.736675269,      0.0165601717,      0.7228490464,                 0,                 0,                 0,     0.09822810323,    -0.01258857234,      0.7229291189,                 0,       43.64985215,    0.004680718177
          69,       -5.50961509,      -5.517032319,      -5.657158575,      -4.780780582,      -9.715452681,     0.01621609926,      0.7247763099,                 0,                 0,                 0,     0.09866789614,    -0.01301004582,       0.724840948,                 0,       44.69486146,    0.004680718177
          70,       -5.52425873,      -5.517534837,       -5.66550452,       -4.79466373,      -9.701565074,     0.01596611935,      0.7267406932,                 0,                 0,                 0,     0.09899738841,    -0.01333899938,      0.7267936593,                 0,       45.51767886,    0.004680718177
          71,      -5.538984796,      -5.518607675,      -5.677213786,      -4.808967223,      -9.694728023,     0.01581315339,      0.7286923878,                 0,                 0,                 0,     0.09921158312,     -0.0135705064,      0.7287376024,                 0,       46.08140892,    0.004680718177
          72,      -5.553251654,       -5.52287434,      -5.691385901,      -4.823332641,      -9.695743288,     0.01575572338,      0.7305798803,                 0,                 0,                 0,     0.09930897861,    -0.01370396736,      0.7306212463,                 0,       46.36917408,    0.004680718177
          73,      -5.566629933,      -5.532133074,      -5.706234981,      -4.837308397,      -9.704662321,     0.01578975757,       0.732362425,                 0,                 0,                 0,     0.09929376903,    -0.01374180841,      0.7324037143,                 0,       46.38211966,    0.004680718177
          74,      -5.579022373,      -5.547433394,      -5.720093375,      -4.850606776,      -9.721610855,     0.01590870793,      0.7340130799,                 0,                 0,                 0,     0.09917714536,    -0.01368948631,      0.7340578222,                 0,       46.13907574,    0.004680718177
          75,      -5.590583914,      -5.569092958,      -5.731918403,      -4.863172952,      -9.747105755,     0.01610204532,      0.7355161556,                 0,                 0,                 0,     0.09897872681,    -0.01355688927,      0.7355674692,                 0,       45.67843035,    0.004680718177
          76,      -5.601339105,       -5.59655948,      -5.741624697,      -4.874881585,      -9.780686199,     0.01635393305,      0.7368621215,                 0,                 0,                 0,     0.09872530396,    -0.01335945699,       0.736922494,                 0,       45.05718101,    0.004680718177
          77,      -5.611053896,      -5.628034756,      -5.749938624,      -4.885375013,      -9.822806003,     0.01664404995,      0.7380442496,                 0,                 0,                 0,     0.09844624902,    -0.01311722292,       0.738115355,                 0,       44.34282833,    0.004680718177
          78,      -5.619330569,      -5.660112027,       -5.75824506,       -4.89410658,      -9.871491272,     0.01694955855,      0.7390614034,                 0,                 0,                 0,     0.09817061626,    -0.01285296017,      0.7391439961,                 0,        43.6035783,    0.004680718177
          79,      -5.625737952,      -5.688081373,       -5.76781056,       -4.90053986,      -9.926277752,     0.01724760251,      0.7399229612,                 0,                 0,                 0,     0.09792485436,    -0.01258988451,      0.7400168667,                 0,       42.90004717,    0.004680718177
          80,      -5.629783884,      -5.707561541,       -5.77969664,       -4.90420286,      -9.986081426,      0.0175175317,      0.7406468803,                 0,                 0,                 0,     0.09773022113,    -0.01234935309,      0.7407510774,                 0,       42.28032197,    0.004680718177
          81,      -5.631181636,      -5.716849099,      -5.794475506,      -4.904926107,      -10.04948475,     0.01774216323,      0.7412609048,                 0,                 0,                 0,     0.09760329977,    -0.01214965308,       0.741373657,                 0,       41.77962378,    0.004680718177
          82,      -5.630277562,      -5.717785467,      -5.811828792,      -4.903200422,      -10.11801094,     0.01790876244,      0.7417991534,                 0,                 0,                 0,     0.09755548439,    -0.01200488401,      0.7419181832,                 0,         41.421017,    0.004680718177
          83,      -5.627866444,       -5.71402454,       -5.83075412,      -4.899945566,      -10.19263348,     0.01800980417,      0.7422975165,                 0,                 0,                 0,     0.09759186084,    -0.01192401149,      0.7424202139,                 0,       41.21630137,    0.004680718177
          84,      -5.624332613,      -5.708902563,      -5.849428237,       -4.89564893,      -10.26648568,     0.01804299519,       0.742790249,                 0,                 0,                 0,     0.09771164975,    -0.01191070762,      0.7429138838,                 0,       41.16779067,    0.004680718177
          85,      -5.620722359,      -5.704910059,      -5.865888891,      -4.891290726,      -10.33551825,     0.01801004271,      0.7433098168,                 0,                 0,                 0,     0.09791013016,    -0.01196457512,      0.7434317012,                 0,       41.27196302,    0.004680718177
          86,      -5.618232352,      -5.705414816,      -5.878945151,       -4.88820662,      -10.39988173,      0.0179153111,      0.7438861295,                 0,                 0,                 0,     0.09818033294,    -0.01208245871,      0.7440037273,                 0,       41.52236739,    0.004680718177
          87,      -5.618142136,      -5.712401703,       -5.88684165,      -4.887529719,      -10.46037192,     0.01776523706,       0.744543616,                 0,                 0,                 0,     0.09851275815,    -0.01225891157,      0.7446546306,                 0,       41.91014245,    0.004680718177
          88,      -5.620439198,      -5.729025285,      -5.890196908,      -4.889403819,      -10.50521102,     0.01756885737,      0.7452975571,                 0,                 0,                 0,     0.09889414187,    -0.01248552016,      0.7454000437,                 0,        42.4215156,    0.004680718177
          89,      -5.623693743,      -5.755328434,      -5.890443967,       -4.89243428,      -10.53451288,     0.01733810894,      0.7461528035,                 0,                 0,                 0,     0.09930697563,     -0.0127505528,      0.7462452945,                 0,       43.03542019,    0.004680718177
          90,      -5.626846073,      -5.787020201,      -5.889525355,      -4.895499463,      -10.55640446,     0.01708722046,      0.7471040503,                 0,                 0,                 0,     0.09973053621,    -0.01303957854,       0.747185656,                 0,       43.72297134,    0.004680718177
          91,      -5.629611682,       -5.81627559,       -5.88861246,       -4.89808649,      -10.57457928,     0.01683155794,      0.7481376167,                 0,                 0,                 0,      0.1001434397,    -0.01333669241,      0.7482080776,                 0,       44.44850674,    0.004680718177
          92,      -5.633630538,      -5.839045643,      -5.887776631,      -4.901775979,      -10.58468211,     0.01658609751,      0.7492351484,                 0,                 0,                 0,      0.1005268052,    -0.01362619069,       0.749294824,                 0,       45.17247941,    0.005496668348
          93,      -5.640064378,      -5.856580848,      -5.886299672,      -4.907766099,      -10.59197646,     0.01636406894,       0.750377108,                 0,                 0,                 0,      0.1008661499,    -0.01389406687,      0.7504269064,                 0,       45.85516662,    0.005496668348
          94,      -5.648115819,      -5.874706942,      -5.888043393,      -4.915514112,      -10.59823433,      0.0161759144,      0.7515404432,                 0,                 0,                 0,      0.1011507121,    -0.01412895812,      0.7515817125,                 0,       46.46046121,    0.005496668348
          95,      -5.655727892,      -5.889768785,      -5.894779928,      -4.922991049,       -10.6015762,     0.01602831355,      0.7527009467,                 0,                 0,                 0,      0.1013732201,    -0.01432321449,      0.7527353237,                 0,       46.96070766,    0.005496668348
          96,      -5.662604796,      -5.896470371,       -5.90552072,      -4.929562705,        -10.601621,      0.0159241475,      0.7538367123,                 0,                 0,                 0,       0.101529809,    -0.01447307426,      0.7538659678,                 0,        47.3392194,    0.005496668348
          97,      -5.671245276,      -5.897868404,      -5.918622144,      -4.937873576,      -10.59974055,      0.0158639176,      0.7549275751,                 0,                 0,                 0,      0.1016191535,    -0.01457722373,      0.7549535165,                 0,       47.58771408,    0.005496668348
          98,      -5.682888622,      -5.900936273,      -5.931871927,      -4.949067143,      -10.59708385,     0.01584697276,      0.7559539309,                 0,                 0,                 0,      0.1016421311,    -0.01463552329,      0.7559783553,                 0,       47.70336533,    0.005496668348
          99,      -5.697465958,      -5.911362039,      -5.945760254,      -4.963322284,      -10.59328334,     0.01587126695,      0.7568987475,                 0,                 0,                 0,      0.1016026583,     -0.0146493308,      0.7569233833,                 0,       47.68987566,    0.005496668348
         100,      -5.714292616,      -5.928989542,      -5.960147261,      -4.980117299,      -10.58878986,     0.01593239969,      0.7577483305,                 0,                 0,                 0,      0.1015079831,    -0.01462249118,      0.7577747399,                 0,       47.56021347,    0.005496668348
         101,      -5.732529824,      -5.948557469,      -5.974560786,      -4.998527704,      -10.58448113,     0.01602307147,      0.7584922161,                 0,                 0,                 0,       0.101368028,    -0.01456187628,      0.7585216757,                 0,        47.3375044,    0.005496668348
         102,       -5.75182494,      -5.966481787,      -5.989279301,      -5.018153856,      -10.58097713,     0.01613390045,       0.759124531,                 0,                 0,                 0,      0.1011947005,    -0.01447662356,      0.7591579438,                 0,       47.05151946,    0.005496668348
         103,      -5.772136429,      -5.980749081,      -6.004129373,      -5.038797266,      -10.57861563,      0.0162546917,      0.7596439254,                 0,                 0,                 0,      0.1010004342,    -0.01437686527,      0.7596817847,                 0,        46.7338255,    0.005496668348
         104,      -5.793272863,       -5.99221945,       -6.02021431,      -5.060353215,      -10.57713482,     0.01637530083,      0.7600533591,                 0,                 0,                 0,      0.1007972347,    -0.01427285686,      0.7600957471,                 0,        46.4146196,    0.005496668348
         105,      -5.814026065,      -5.999738235,      -6.038950637,      -5.081624724,      -10.57651772,     0.01648625669,      0.7603598012,                 0,                 0,                 0,      0.1005960637,    -0.01417434269,      0.7604064123,                 0,       46.12082753,    0.005496668348
         106,      -5.833147153,      -6.000978673,      -6.060945001,      -5.101294599,      -10.57670847,     0.01657938551,      0.7605731586,                 0,                 0,                 0,      0.1004061561,    -0.01408988916,        0.76062335,                 0,       45.87462896,    0.005496668348
         107,      -5.850506245,      -5.995370672,      -6.085323186,      -5.119105934,      -10.57755876,     0.01664838567,      0.7607055405,                 0,                 0,                 0,      0.1002345607,    -0.01402628088,      0.7607584055,                 0,       45.69245063,    0.005496668348
         108,      -5.866244679,      -5.984737765,      -6.111022061,      -5.135187672,      -10.57894057,     0.01668903799,      0.7607707722,                 0,                 0,                 0,      0.1000859707,    -0.01398829084,      0.7608252228,                 0,       45.58505846,    0.005496668348
         109,      -5.881131924,      -5.972786067,      -6.136209733,      -5.150356684,      -10.58080883,      0.0166989216,      0.7607846995,                 0,                 0,                 0,     0.09996325468,    -0.01397897662,      0.7608395371,                 0,       45.55891199,    0.005496668348
