"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "Cauchy[CL]"   
          0,           0,         690,       -6.05205522,      -5.951782704,       -6.23754321,      -5.387879427,      -7.948728774,      -2.152771551,     0.03984351355,      0.3384211528,                 0,                 0,                 0,     0.02566987928,     0.02646715002,      0.3397291159,                 0,        8.49375777,      0.3989057527,    0.003951791491
          0,           0,         700,       -5.67782961,      -5.904050765,      -6.059155451,      -5.020923801,      -8.086308278,      -2.078190435,     0.03922767865,      0.3226543499,                 0,                 0,                 0,     0.01848945441,     0.02647354561,       0.323950292,                 0,       8.225170619,      0.4410860425,     0.00395262253
          0,           0,         710,      -5.472685818,      -5.887479057,      -5.942091097,      -4.818148175,      -8.306134861,      -2.053163543,     0.03817897195,      0.3037108187,                 0,                 0,                 0,     0.01026551024,     0.02617267789,      0.3049801407,                 0,       7.954923958,      0.5159220404,    0.004026362917
          0,           0,         720,      -5.373990571,      -5.890945992,      -5.888883883,      -4.720683737,      -8.313025899,      -2.062065349,     0.03687967869,      0.2842600261,                 0,                 0,                 0,    0.002200762769,     0.02564142196,       0.285493241,                 0,       7.707768513,      0.5186433494,     0.00413251862
          0,           0,         730,      -5.346350847,       -5.90699881,      -5.880016895,      -4.693907775,      -8.149361076,      -2.117445006,     0.03551490286,       0.266430738,                 0,                 0,                 0,   -0.004978333578,     0.02498079165,      0.2676240021,                 0,       7.501941903,      0.5200040039,    0.004225676881
          0,           0,         740,       -5.35596806,      -5.935397114,      -5.917065445,      -4.703724489,      -8.055191441,      -2.186678137,     0.03423348962,      0.2512951311,                 0,                 0,                 0,    -0.01089188822,     0.02429723589,      0.2524496367,                 0,       7.340622703,      0.5213646584,    0.004287661104
          0,           0,         750,      -5.398482752,      -5.953483254,      -6.002063505,      -4.745657029,      -8.018188287,      -2.287007791,     0.03315461691,      0.2396590037,                 0,                 0,                 0,    -0.01523358924,     0.02367806389,      0.2407800157,                 0,         7.2285258,      0.5227253129,    0.004303108777
          0,           0,         760,      -5.474830352,      -5.986970775,      -6.099352318,      -4.820963752,      -8.022561207,      -2.369256524,      0.0322956147,      0.2317269791,                 0,                 0,                 0,    -0.01813123996,     0.02313252299,      0.2328202869,                 0,        7.17518404,      0.5240859674,    0.004300180465
          0,           0,         770,       -5.59841432,      -6.018100938,      -6.225181384,      -4.943142788,       -8.04761461,      -2.407333159,     0.03166650481,      0.2273321726,                 0,                 0,                 0,    -0.01969993963,     0.02267720818,      0.2284040903,                 0,       7.178947406,      0.5254466219,    0.004322879998
          0,           0,         780,      -5.775456903,      -6.074259272,      -6.394806913,      -5.117138291,      -8.099217645,       -2.42244775,     0.03128647673,      0.2265000826,                 0,                 0,                 0,    -0.01995098319,     0.02233028851,      0.2275576614,                 0,       7.239552237,      0.5268072764,    0.004310643041
          0,           0,         790,      -6.085121836,      -6.144547115,      -6.531711089,      -5.425099469,      -8.171492194,      -2.339026624,     0.03113706401,      0.2290149159,                 0,                 0,                 0,    -0.01907821266,     0.02208182154,      0.2300646466,                 0,       7.355058134,      0.5281679309,    0.004146431106
          0,           0,         800,      -6.129997909,      -6.154031556,      -6.484890072,      -5.476420711,      -8.270260214,      -2.268527987,     0.03122890019,      0.2346229514,                 0,                 0,                 0,    -0.01712109106,     0.02195243782,      0.2356719415,                 0,        7.51300718,      0.5295285854,    0.003909813554
          0,           0,         810,       -5.83315946,       -6.05643057,      -6.338894665,       -5.17211226,      -8.382484971,      -2.226999044,     0.03153698074,      0.2427418829,                 0,                 0,                 0,    -0.01414840922,     0.02194011505,      0.2437967067,                 0,       7.697055241,      0.5295285854,    0.003642527753
          0,           0,         820,      -5.693948417,      -5.932544365,      -6.227812464,       -5.02938985,      -8.439719478,      -2.206811449,     0.03204127827,      0.2530032155,                 0,                 0,                 0,    -0.01017760483,     0.02203937274,      0.2540699444,                 0,        7.89616486,      0.5308892398,    0.003391644302
          0,           0,         830,      -5.613183308,      -5.887491671,      -6.171288223,      -4.947674971,      -8.398240863,      -2.207534367,     0.03272366132,      0.2648324016,                 0,                 0,                 0,   -0.005410102569,     0.02225475036,      0.2659168386,                 0,       8.092994211,      0.5308892398,    0.003197697228
          0,           0,         840,      -5.564463048,      -5.834583778,      -6.132097508,      -4.897602238,      -8.288642408,      -2.227340251,     0.03355554402,      0.2775154779,                 0,                 0,                 0, -9.256226277e-005,     0.02258583886,      0.2786228543,                 0,       8.270331657,      0.5295285854,    0.003077820773
          0,           0,         850,      -5.554230166,      -5.832243625,      -6.124320382,      -4.887792807,      -8.187020083,      -2.272921884,     0.03448821092,      0.2901514887,                 0,                 0,                 0,    0.005412861276,     0.02301948916,      0.2912858153,                 0,       8.413062927,      0.4410860422,    0.003046852353
          0,           0,         860,      -5.559935662,      -5.817473881,       -6.15013391,       -4.89155074,       -8.10661809,      -2.342147878,     0.03545820979,      0.3017533979,                 0,                 0,                 0,     0.01066262971,     0.02353122137,      0.3029169514,                 0,       8.510113728,      0.3907418254,    0.003101004916
          0,           0,         870,      -5.601198791,      -5.839049421,      -6.207462979,      -4.932808444,      -8.050432457,       -2.44069062,     0.03638341352,       0.311138531,                 0,                 0,                 0,     0.01506322758,      0.0240856101,      0.3123312691,                 0,       8.551658596,      0.3812172438,     0.00321514433
          0,           0,         880,       -5.67451561,      -5.897198763,      -6.288777659,      -5.006482459,      -8.024206946,      -2.536923023,     0.03715996282,      0.3170152086,                 0,                 0,                 0,     0.01789640023,     0.02462981322,      0.3182339982,                 0,       8.531095957,      0.3812172439,    0.003355688229
          0,           0,         890,      -5.844445333,      -6.012400236,      -6.446164069,      -5.174936469,      -8.027955015,      -2.501200186,     0.03768525992,      0.3183542352,                 0,                 0,                 0,     0.01860978139,     0.02510189827,       0.319592698,                 0,       8.447712339,      0.4057090251,    0.003295605961
          0,           0,         900,      -6.153071811,      -6.097637615,      -6.474338414,      -5.482831166,      -8.062208189,      -2.343723107,     0.03787579278,      0.3144080397,                 0,                 0,                 0,     0.01688126989,     0.02544789804,      0.3156570855,                 0,       8.301028616,      0.4533319329,    0.003178799546
          0,           0,         910,      -5.983325742,      -6.080649813,      -6.296160251,      -5.325410959,      -8.165936831,      -2.256188825,     0.03764436519,      0.3053291689,                 0,                 0,                 0,     0.01282936859,     0.02557466859,      0.3065761503,                 0,       8.110886381,      0.5254466218,    0.003132641955
          0,           0,         920,       -5.69031054,      -6.016498243,      -6.149192616,      -5.033065121,      -8.352176023,      -2.207772691,     0.03706054267,      0.2929808836,                 0,                 0,                 0,    0.007492003127,     0.02547824511,      0.2942144473,                 0,       7.905466635,      0.5281679309,     0.00313315173
          0,           0,         930,      -5.552935455,      -6.022408296,      -6.071468321,      -4.897660976,      -8.490765526,      -2.202584236,     0.03623167944,      0.2792481248,                 0,                 0,                 0,    0.001764295196,     0.02519156713,      0.2804596847,                 0,        7.70729177,      0.5281679309,    0.003158466004
          0,           0,         940,      -5.493719172,      -6.029317414,      -6.041547953,       -4.83935133,      -8.371486277,      -2.236660264,     0.03528619105,      0.2657417608,                 0,                 0,                 0,   -0.003699865274,     0.02477942702,      0.2669265417,                 0,       7.531041261,      0.5295285854,    0.003188751227
          0,           0,         950,      -5.486616838,       -6.03864315,       -6.05996541,      -4.832503233,      -8.236706551,      -2.305880846,     0.03434265501,      0.2536279341,                 0,                 0,                 0,   -0.008466573931,     0.02431432412,      0.2547849299,                 0,       7.385216255,      0.5308892398,    0.003212134799
