"Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          48,      -4.148641863,      -3.944784401,      -4.158364503,      -3.405311452,      -10.66640947,   -0.006460723749,     -0.0448953637,                 0,                 0,                 0,      0.1019714179,   -0.008023613648,    -0.04464253865,                 0,       6.948968171,    0.001452027678
          49,      -4.166090065,      -3.977441628,      -4.170918564,      -3.412210372,      -10.74094947,   -0.008599396593,    -0.04046844266,                 0,                 0,                 0,      0.1012972345,    -0.01000648635,    -0.04014367576,                 0,       4.705963055,    0.001452027678
          50,      -4.207654365,      -4.018609498,      -4.211270322,      -3.450494934,       -10.7009225,    -0.01027017395,    -0.03814861715,                 0,                 0,                 0,     0.09884035545,    -0.01159528518,    -0.03776695414,                 0,       3.714505453,    0.001452027678
          51,      -4.249117934,      -4.049965374,      -4.255869985,      -3.483893262,      -10.76128869,    -0.01139035379,    -0.03430569278,                 0,                 0,                 0,     0.09791137407,    -0.01258066651,    -0.03388727707,                 0,       3.011819774,    0.001452027678
          52,      -4.305484936,      -4.096967125,      -4.319396747,      -3.541762713,      -10.71476769,    -0.01134210213,     -0.0336376996,                 0,                 0,                 0,     0.09507981137,    -0.01250913162,    -0.03322137477,                 0,       2.965737674,    0.001452027678
          53,       -4.35824619,      -4.139550355,      -4.383701345,      -3.597012344,      -10.78262961,    -0.01148089617,    -0.03002677951,                 0,                 0,                 0,     0.09419689934,    -0.01252182181,    -0.02960781051,                 0,       2.615368963,    0.001452027678
          54,      -4.410516666,      -4.195283742,      -4.450029378,      -3.660123809,       -10.7892141,    -0.01128947486,    -0.02628746439,                 0,                 0,                 0,      0.0934287599,     -0.0122000169,    -0.02587745378,                 0,       2.328493106,    0.001452027678
          55,      -4.451425948,      -4.251628365,      -4.503484972,      -3.714860325,      -10.83987378,    -0.01110683099,    -0.02346123412,                 0,                 0,                 0,      0.0930648704,    -0.01191885027,    -0.02305931936,                 0,       2.112324761,    0.001452027678
          56,      -4.487916249,      -4.306435185,      -4.546723677,      -3.764409064,      -10.82107468,     -0.0100727834,    -0.02117756389,                 0,                 0,                 0,     0.09197631835,    -0.01080573365,    -0.02081312802,                 0,       2.102454014,    0.001452027678
          57,      -4.507701337,      -4.354489649,      -4.562921062,      -3.789030796,      -10.88609862,   -0.009351811987,    -0.01937191748,                 0,                 0,                 0,     0.09140491932,    -0.01002218529,     -0.0190337431,                 0,       2.071461393,    0.001452027678
          58,      -4.535151236,      -4.399197479,      -4.583543813,      -3.818573022,      -10.87872998,   -0.007552499796,    -0.01876372238,                 0,                 0,                 0,     0.09004932898,   -0.008202743485,    -0.01848871358,                 0,       2.484438647,    0.001452027678
          59,      -4.550924974,      -4.435288677,      -4.590368162,      -3.827900981,      -10.92495628,   -0.006498694964,    -0.01718922465,                 0,                 0,                 0,      0.0895343853,   -0.007094631423,    -0.01695195225,                 0,       2.645027154,    0.001452027678
          60,      -4.581161543,      -4.472545347,       -4.61686157,      -3.856082163,      -10.91317671,   -0.004191087638,    -0.01757727592,                 0,                 0,                 0,     0.08816638629,   -0.004801972624,    -0.01742030146,                 0,        4.19396525,    0.001452027678
          61,      -4.605664206,      -4.498399316,      -4.640398103,      -3.871530441,      -10.93532772,   -0.002891317561,     -0.0163350644,                 0,                 0,                 0,     0.08772215122,   -0.003459641774,    -0.01622420799,                 0,       5.649695704,    0.001452027678
          62,       -4.64476303,      -4.533379401,      -4.683259967,       -3.90927512,      -10.91236976,  -0.0002798905823,    -0.01746339547,                 0,                 0,                 0,     0.08645769544,  -0.0008891837933,     -0.0174429892,                 0,       62.39365158,    0.001452027678
          63,      -4.680154753,      -4.559951706,      -4.726291186,      -3.939413985,      -10.91635649,    0.001154219133,    -0.01654422312,                 0,                 0,                 0,     0.08611254167,   0.0005761309537,    -0.01657442649,                 0,      -14.33369336,    0.001452027678
          64,      -4.722666035,      -4.601845148,      -4.780747142,      -3.985686139,      -10.90152695,    0.002663265925,    -0.01613133163,                 0,                 0,                 0,     0.08572399952,    0.002098668181,     -0.0162144515,                 0,      -6.056973688,    0.001452027678
