Point_ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Y_Plus
942,0.63925,0,1.76953,-746.461,1.21185e-07,0,0,0,0,0,0,0.244365,-0.0592567,0,0.251447,0.707811,-0.561639,0.0042458,-0.000120659,0,0.00424752,1.11999,1.52023
943,0.638502,0,1.76741,-745.487,1.21182e-07,0,0,0,0,0,0,0.245724,-0.0592948,0,0.252777,0.706966,-0.56333,0.00424283,-0.000117234,0,0.00424445,1.11996,1.51883
944,0.637775,0,1.76536,-744.47,1.2118e-07,0,0,0,0,0,0,0.247083,-0.0593318,0,0.254107,0.706144,-0.564973,0.00423976,-0.00011383,0,0.00424129,1.11993,1.51742
945,0.637058,0,1.76334,-743.511,1.21178e-07,0,0,0,0,0,0,0.248443,-0.0593678,0,0.255437,0.705334,-0.566593,0.00423672,-0.000110449,0,0.00423816,1.11991,1.51603
946,0.636345,0,1.76132,-742.599,1.21176e-07,0,0,0,0,0,0,0.249802,-0.0594027,0,0.256768,0.704528,-0.568205,0.00423372,-0.000107088,0,0.00423507,1.11988,1.51466
947,0.635636,0,1.75932,-741.708,1.21174e-07,0,0,0,0,0,0,0.251161,-0.0594365,0,0.258098,0.703728,-0.569805,0.00423072,-0.000103748,0,0.00423199,1.11986,1.51329
948,0.634933,0,1.75733,-740.752,1.21172e-07,0,0,0,0,0,0,0.252521,-0.0594694,0,0.259429,0.702934,-0.571394,0.00422759,-0.000100425,0,0.00422879,1.11983,1.51191
949,0.634241,0,1.75538,-739.729,1.2117e-07,0,0,0,0,0,0,0.25388,-0.0595011,0,0.260759,0.702153,-0.572956,0.00422435,-9.71197e-05,0,0.00422547,1.11981,1.51052
950,0.633563,0,1.75347,-738.699,1.21168e-07,0,0,0,0,0,0,0.255239,-0.0595319,0,0.26209,0.701387,-0.574487,0.00422105,-9.38335e-05,0,0.0042221,1.11978,1.50913
951,0.632893,0,1.75158,-737.576,1.21166e-07,0,0,0,0,0,0,0.256599,-0.0595616,0,0.263421,0.700631,-0.575999,0.00421754,-9.05631e-05,0,0.00421851,1.11976,1.50771
