"Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          87,      -5.570362563,      -5.693634224,      -5.846896905,      -4.837775436,      -7.983349595,     -0.6242632374,     0.01656195353,      0.7545740962,                 0,                 0,                 0,      0.1002349144,    -0.01386550766,        0.75462846,                 0,       45.56069395,    0.004680718177
          88,      -5.572521039,       -5.71630941,      -5.853236956,      -4.839509725,      -7.976580811,      -0.638044665,     0.01643711765,      0.7555319247,                 0,                 0,                 0,      0.1006120439,    -0.01402884851,      0.7555804785,                 0,       45.96498855,    0.005496668348
          89,      -5.574031142,      -5.734286933,       -5.85622558,      -4.840892161,      -7.969877246,     -0.6478280547,     0.01627211348,      0.7565815127,                 0,                 0,                 0,      0.1010357226,    -0.01423602348,      0.7566225629,                 0,       46.49558975,    0.005496668348
          90,      -5.575861397,       -5.74268789,      -5.855078702,      -4.842615518,      -7.963457572,     -0.6554496335,     0.01607799519,       0.757725061,                 0,                 0,                 0,      0.1014891468,     -0.0144760761,      0.7577573577,                 0,       47.12808109,    0.005496668348
          91,      -5.581062344,      -5.756440644,      -5.850212883,      -4.847629229,      -7.958300236,       -0.66062512,     0.01586841969,      0.7589603512,                 0,                 0,                 0,      0.1019548645,    -0.01473527112,      0.7589831969,                 0,       47.82835127,    0.005496668348
          92,      -5.585364643,      -5.781992386,      -5.847351201,      -4.851828313,      -7.955298508,     -0.6655286769,      0.0156585908,      0.7602814051,                 0,                 0,                 0,      0.1024164668,    -0.01499817614,      0.7602947199,                 0,       48.55362878,    0.005496668348
          93,      -5.585799836,      -5.801717809,      -5.846460092,      -4.852156225,      -7.955128955,     -0.6722404297,     0.01546245306,      0.7616725351,                 0,                 0,                 0,      0.1028571962,    -0.01525022564,      0.7616768139,                 0,        49.2594889,    0.005496668348
          94,      -5.585755966,      -5.807663144,      -5.846491363,      -4.851813604,      -7.957885612,     -0.6809614737,     0.01529163685,      0.7631112223,                 0,                 0,                 0,      0.1032619309,    -0.01547889103,       0.763107447,                 0,       49.90382847,    0.005496668348
          95,      -5.588662897,      -5.808887813,      -5.848529716,      -4.853901514,      -7.963526209,     -0.6908354366,      0.0151557088,      0.7645742755,                 0,                 0,                 0,       0.103619995,    -0.01567367872,      0.7645638326,                 0,       50.44793918,    0.005496668348
          96,      -5.595306394,      -5.815438289,      -5.852830674,      -4.859923987,      -7.971675824,     -0.7011038747,     0.01506094739,      0.7660381263,                 0,                 0,                 0,      0.1039241581,    -0.01582736536,      0.7660226744,                 0,        50.8625458,    0.005496668348
          97,      -5.602849613,      -5.818860563,         -5.860161,      -4.867110864,       -7.98167093,     -0.7146315302,     0.01500996327,       0.767481172,                 0,                 0,                 0,      0.1041701436,    -0.01593647171,      0.7674624924,                 0,       51.13144903,    0.005496668348
          98,      -5.611029092,      -5.814851753,      -5.869652099,      -4.875050601,      -7.992488757,      -0.727204001,     0.01500310519,       0.768884746,                 0,                 0,                 0,      0.1043569701,    -0.01599989693,      0.7688646494,                 0,       51.24837399,    0.005496668348
          99,      -5.622871425,      -5.813377223,      -5.880066217,      -4.886779438,       -8.00355541,     -0.7368951635,     0.01503966334,      0.7702329619,                 0,                 0,                 0,      0.1044869842,    -0.01601770993,      0.7702132432,                 0,       51.21344437,    0.005496668348
         100,      -5.636972306,      -5.822713809,      -5.891147482,      -4.900918137,      -8.014233122,     -0.7471738126,     0.01511767233,      0.7715130557,                 0,                 0,                 0,      0.1045655304,    -0.01599136002,       0.771495441,                 0,       51.03385222,    0.005496668348
